"filename", "language", "Markdown", "JavaScript", "CSS", "XML", "JSON", "C#", "ASP.NET Razor", "comment", "blank", "total"
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorAPI\.config\dotnet-tools.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 0, 0, 12
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorAPI\Controllers\DerivativeController.cs", "C#", 0, 0, 0, 0, 0, 169, 0, 16, 33, 218
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorAPI\Controllers\ExerciseController.cs", "C#", 0, 0, 0, 0, 0, 320, 0, 22, 69, 411
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorAPI\DerivativeCalculatorAPI.csproj", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorAPI\DifferentiateQueryBody.cs", "C#", 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorAPI\ExerciseQueryBody.cs", "C#", 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorAPI\Preferences.cs", "C#", 0, 0, 0, 0, 0, 26, 0, 0, 7, 33
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorAPI\Program.cs", "C#", 0, 0, 0, 0, 0, 27, 0, 17, 13, 57
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorAPI\Properties\ServiceDependencies\DerivativeCalculatorAPI - Web Deploy\apis1.arm.json", "JSON", 0, 0, 0, 0, 131, 0, 0, 0, 0, 131
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorAPI\Properties\ServiceDependencies\DerivativeCalculatorAPI - Web Deploy\profile.arm.json", "JSON", 0, 0, 0, 0, 113, 0, 0, 0, 0, 113
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorAPI\Properties\launchSettings.json", "JSON", 0, 0, 0, 0, 31, 0, 0, 0, 1, 32
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorAPI\Properties\serviceDependencies.DerivativeCalculatorAPI - Web Deploy.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorAPI\Properties\serviceDependencies.json", "JSON", 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorAPI\ResponseData.cs", "C#", 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorAPI\appsettings.Development.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorAPI\appsettings.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\.config\dotnet-tools.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 0, 0, 12
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\DerivativeCalculatorWebsite.csproj", "XML", 0, 0, 0, 16, 0, 0, 0, 0, 6, 22
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\Pages\Error.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 23, 0, 4, 27
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\Pages\Error.cshtml.cs", "C#", 0, 0, 0, 0, 0, 22, 0, 0, 6, 28
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\Pages\Index.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 85, 1, 33, 119
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\Pages\Index.cshtml.cs", "C#", 0, 0, 0, 0, 0, 44, 0, 9, 13, 66
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\Pages\Privacy.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 7, 0, 2, 9
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\Pages\Privacy.cshtml.cs", "C#", 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\Pages\Random.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 94, 0, 32, 126
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\Pages\Random.cshtml.cs", "C#", 0, 0, 0, 0, 0, 65, 0, 0, 17, 82
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\Pages\Shared\_Layout.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 45, 0, 2, 47
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\Pages\Shared\_Layout.cshtml.css", "CSS", 0, 0, 38, 0, 0, 0, 0, 2, 9, 49
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\Pages\Shared\_ValidationScriptsPartial.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\Pages\_ViewImports.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\Pages\_ViewStart.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\Program.cs", "C#", 0, 0, 0, 0, 0, 15, 0, 4, 11, 30
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\Properties\ServiceDependencies\DerivativeCalculatorWebsite20221201230426 - Web Deploy\profile.arm.json", "JSON", 0, 0, 0, 0, 113, 0, 0, 0, 0, 113
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\Properties\launchSettings.json", "JSON", 0, 0, 0, 0, 28, 0, 0, 0, 1, 29
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\appsettings.Development.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\appsettings.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\sprites\icon.svg", "XML", 0, 0, 0, 140, 0, 0, 0, 0, 1, 141
